campaign,product_id
%%=v(@campanha)=%%,
X,
FPF,fpf
BAR0001,legado
BT0001,viver_de_renda
BT0002,viver_de_renda
VR0004,viver_de_renda
VR0005,viver_de_renda
VR0006,viver_de_renda
VR0007,viver_de_renda
VR0008,viver_de_renda
VR0009,viver_de_renda
VR000A,viver_de_renda
VR0010,viver_de_renda
VR0011,viver_de_renda
VR0028,viver_de_renda
VR0029,viver_de_renda
VR0030,viver_de_renda
VR0031,viver_de_renda
VR0032,viver_de_renda
VR0033,viver_de_renda
VR0035,viver_de_renda
VR0036,viver_de_renda
VMR,viver_de_renda
VRC0002,viver_de_renda_cripto
VRC0005,viver_de_renda_cripto
VRC0006,viver_de_renda_cripto
VRC0007,viver_de_renda_cripto
VRC0008,viver_de_renda_cripto
VRE0001,viver_de_renda_exterior
VRE0002,viver_de_renda_exterior
VRE0003,viver_de_renda_exterior
VRE0004,viver_de_renda_exterior
VRE0005,viver_de_renda_exterior
VRE0006,viver_de_renda_exterior
VRE0007,viver_de_renda_exterior
VRE0008,viver_de_renda_exterior
VRE008,viver_de_renda_exterior
ECL0001,leilao
LEI0003,leilao
FCELAN,fce
FCE0002,fce
FCS0001,consultor_seguros
PB0001,profissao_bancario
SSL0001,segundo_salario
HFL0001,house_flipping
UND0002,underblock
UND0004,underblock
ADM0001,adm
MBAIA0001,mba_ia
MBAIA0002,mba_ia
MBAIA0003,mba_ia
MBAR0001,mba_barsi
MBAR0002,mba_barsi
MBAR002,mba_barsi
MBAR0003,mba_barsi
MBAR0004,mba_barsi
MBAR0004_Columbia,mba_barsi
MBAR0005,mba_barsi
MBAR0006,mba_barsi
MBAF0001,mba_flavio_augusto
MBAF0002,mba_flavio_augusto
MBAF0003,mba_flavio_augusto
MBAF0004,mba_flavio_augusto
MBAPG0001,mba_paulo_guedes
MBAPG0002,mba_paulo_guedes
MBAPG0003,mba_paulo_guedes
MBATN0001,mba_thiago
MBATN0002,mba_thiago
MBATN0003,mba_thiago
VIT0008,finclass
F0034,finclass
F0083,finclass
F0108,finclass
F0113,finclass
F0117,finclass
F0122,finclass
F0124,finclass
F0124-PLANILHA,finclass
F0137,finclass
F0145,finclass
F0155,finclass
F0156,finclass
F0167,finclass
F0176,finclass
F0177,finclass
F0185,finclass
F0197,finclass
F0208,finclass
F0235,finclass
F0237,finclass
F0239,finclass
INGR0003,finclass
ANV0005,
ANV0006,
ANO0002,
AMH0001,
BFF0005,
BFF0006,
DMMP0001,
FIA0001,
FINHUB0001,
I33,
I330001,
KAI0001,
KAI0002,
KAI0003,
MBAHF0001,
MBAM0001,
MBAW0001,
MM0002,
MM0003,
MM0004,
MM0005,
MMD0001,
MYHUB,
PAMPG0001,
PER0002,
POSRS0001,
POSRS0002,
UBFI0001,
WBE0001,
